soru,cevap,veri türü,kaynak,context,Score
Aşağıdakilerden hangisi 1982 Anayasası’nın idare hukukuyla ilgili hükümleri arasında yer almaz?,İdarenin takdir yetkisine istinaden tesis ettiği işlemler yargı denetimi dışındadır.,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
"Osmaniye Cumhuriyet BaşsavcISI, il merkezinde görev yapan memur A’nın görevi sebebiyle bir suç işlediğini öğrenir. İvedilikle toplanması gerekli ve kaybolma ihtimali bulunan delilleri tespit ettikten sonra elindeki evrakın bir örneğini de göndermek suretiyle Osmaniye valisinden soruşturma izni ister. Kanuni süre içinde Osmaniye valisi tarafından soruşturma izni verilmez ve bu karar ilgililere bildirilir. 4483 sayılı Memurlar ve Diğer Kamu Görevlilerinin Yargılanması Hakkında Kanun’a göre I. Şikâyetçi II. Osmaniye Cumhuriyet Başsavcılığı III. Memur A sayılanlardan hangileri soruşturma izni verilmemesi kararına karşı itiraz yoluna gidebilir?",I ve II,hukuk,4483 sayılı Memurlar ve Diğer Kamu Görevlilerinin Yargılanması Hakkında Kanun,HMGS 2025 1. Sınav,8
"Aday memur A uyarma cezası, A’nın kurumdaki arkadaşı aday memur B ise aylıktan kesme cezası almıştır. A ve B’nin, disiplin amirinin kararı ile memuriyetle ilişikleri kesilmiştir. 657 sayılı Devlet Memurları Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?","Sadece B’nin memuriyetle ilişiğinin kesilmesi gerekir ve bu karar, disiplin amirinin teklifi ve atamaya yetkili amirinin onayıyla verilir.",hukuk,657 sayılı Devlet Memurları Kanunu,HMGS 2025 1. Sınav,8
6328 sayılı Kamu Denetçiliği Kurumu Kanunu’na göre Kamu Denetçiliği Kurumuna yapılacak başvurular ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,Elektronik ortamda başvuru yapılabilmesi mümkündür.,hukuk,6328 sayılı Kamu Denetçiliği Kurumu Kanunu,HMGS 2025 1. Sınav,8
"Hâkim H’ye, Adalet Bakanı tarafından meslekten çıkarma cezası verilir. Bu idari işleme karşı iptal davası açan H, dava dilekçesinde I. kendisine ancak Hâkimler ve Savcılar Kurulunun disiplin cezası verebileceğini, II. ceza verilmeden önce savunmasının alınmadığını, III. kendisine meslekten çıkarma cezası değil yer değiştirme cezası uygulanması gerektiğini iddia eder. H’nin iddiaları, sırasıyla dava konusu idari işlemin hangi unsurlarına ilişkindir?",I – Yetki II – Şekil III – Konu,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 1. Sınav,8
2575 sayılı Danıştay Kanunu’na göre Danıştay üyelerinin hangi dairede görev yapacağını belirleme yetkisi aşağıdakilerden hangisine aittir?,Danıştay Başkanlık Kurulu,hukuk,2575 sayılı Danıştay Kanunu,HMGS 2025 1. Sınav,8
"Şüheda, ülke çapında uygulanma kabiliyetine sahip bir yönetmelik hükmünün iptali talebini içeren dava dilekçesini Danıştaya teslim eder. Danıştay Genel Sekreterliği, dava dilekçesini Danıştay 5. Dairesine havale eder. 2577 sayılı İdari Yargılama Usulü Kanunu’na göre Şüheda’nın dilekçesi üzerinde ilk inceleme, kural olarak aşağıdakilerin hangisi tarafından yapılır?",Danıştay 5. Dairesi Başkanı’nın görevlendireceği tetkik hâkimi,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 1. Sınav,8
2577 sayılı İdari Yargılama Usulü Kanunu’na göre ivedi yargılama usulüyle igili aşağıdaki ifadelerden hangisi doğrudur?,Savunmaya cevap ve idarenin ikinci savunması aşamaları söz konusu olmaksızın dosya tekemmül eder.,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre aşağıdakilerden hangisi derneğin kendiliğinden sona erdiği hâllerden biri değildir?,Derneğin amacının ahlaka aykırı hâle gelmesi,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
Türk medeni hukukuna göre aşağıdaki kişilerden hangisi fiil ehliyeti bakımından tam ehliyetsizdir?,Ayırt etme gücü bulunmayan ergin akıl hastası,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre bir konfederasyon kural olarak en az kaç federasyonun amaçlarını gerçekleştirmek üzere üye sıfatıyla bir araya gelmeleri suretiyle kurulur?,3,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"Eşler, evlilik birliğinin temelden sarsılması ve bu durumun kendileri açısından ortak hayatın devamının beklenemez hâle gelmesi durumunda anlaşma yoluyla boşanabilirler. Aşağıdakilerden hangisi 4721 sayılı Türk Medeni Kanunu’na göre hâkimin eşlerin evlilik birliğinin temelden sarsılması nedeniyle boşanması yönünde karar verebilmesi için gereken şartlardan biri değildir?",Tarafların daha önce karşılıklı anlaşma yoluyla boşanma için mahkemeye başvurmuş olup taleplerinin reddedilmemiş olması,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre aşağıdaki durumların hangisinde eşter arasında geçerli olan mal ortaklığı kendiliğinden mal ayrılığına dönüşür?,Eşlerden birinin iflasına karar verilmiş olması,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre boşanmanın mali sonuclariyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Taraflar arasında kusursuz veya daha az kusurlu olan tarafa maddi tazminat ödenmesine hâkim resen karar verir.,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"Yardım edilmediği takdirde yoksulluğa düşecek olan üst soy ve alt soy ile kardeşlere verilen nafaka, yardım nafakası olarak adlandırılır. 4721 sayılı Türk Medeni Kanunu’na göre yardım nafakasıyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?","Nafaka talep hakkı, sahibinin ölümü hâlinde mirasçılarına geçer.",hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"A ile B, 01.06.2021 tarihinde evlenir. A, 01.04.2023 tarihinde küçük düşürücü nitelikte bir suç işler. B ise bu sebebe dayanarak boşanma davası açmayı düşünmeye başlar. 4721 sayılı Türk Medeni Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?",A’nın işlediği suçtan dolayı eşiyle birlikte yaşaması B’den beklenemezse boşanma davası bu sebebe dayanarak her zaman açılabilir.,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre aşağıdakilerden hangisi anapara ipoteğinin alacaklıya sağladığı güvencenin kapsamında değildir?,Borcun ödenmemesi hâlinde rehinli taşınmazın mülkiyetinin alacaklıya geçmesi,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"Kaybedilmiş bir şeyi bulan kimse; malın sahibine, sahibini bilmiyorsa kolluk kuvvetlerine, köylerde muhtara bildirmek veya araştırma yapmak ve gerektiğinde ilân etmek zorundadır. 4721 sayılı Türk Medeni Kanunu’na göre bulunan şeyin maliki; ilân veya kolluk kuvvetlerine ya da muhtara bildirme tarihinden başlayarak kural olarak kaç yıl içinde ortaya çıkmazsa bulan kimse, yükümlülüklerini yerine getirmiş olmak koşuluyla o şeyin mülkiyetini kazanır?",5,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"Gözde ve Damla arasında yapılan bir sözleşmeye istinaden Gözde, bir bölümünü kendisinin kullandığı ve mülkiyeti kendisine ait olan binanın bir bölümü üzerinde Damla’nın şahsına oturma hakkı tanır. Sözleşmede bu haktan Damla’nın ailesinin yararlanabileceğine dair bir karar alınmaz. 4721 sayılı Türk Medeni Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?","Tanınan hak, başkasına devredilemez ve mirasçılara geçmez.",hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre resmî vasiyetnameyle ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Okur yazar olmayanlar düzenlenmesine tanık olarak katılabilirler.,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
"M; öldüğünde geride annesi A, kardeşi B ve kendisinden önce ölen kardeşi C’nin kızı D kalmıştır. 4721 sayılı Türk Medeni Kanunu’na göre D’nin yasal miras payı aşağıdakilerden hangisidir?",1/4,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
Aşağıdakilerden hangisi 4721 sayılı Türk Medeni Kanunu’nda ölüme bağlı tasarrufların iptali için dava açabilme sebepleri arasında sayılmamıştır?,Tasarruf konusu edim tasarruf yapıldığı sırada terekede bulunmuyorsa,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
4721 sayılı Türk Medeni Kanunu’na göre mirasın reddi ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Miras, diğer mirasçıların da mirası reddetmesi şartıyla reddedilebilir.",hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 1. Sınav,8
B ve C; A’dan almış oldukları 200.000 TL tutarındaki borcun tamamından sorumlu olmayı kabul ettiklerini A’ya bildirir. 6098 sayılı Türk Borçlar Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Zaman aşımı, B’ye karşı kesilince C’ye karşı kesilmiş olmaz.",hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre sözleşmeden doğan borç ilişkilerinde meydana gelen irade bozukluklarıyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Korkutmadan dolayı bağlayıcılığı olmayan bir sözleşmenin onanmış sayılması tazminat hakkını ortadan kaldırır.,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre haksıZ fiilden doğan borç ilişkilerinde sorumlulukla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Hâkim, zarara ağır kusuruyla sebep olan tazminat yükümlüsünün tazminatı ödediğinde yoksulluğa düşecek olması hâlinde tazminatı resen indirir.",hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
"Taraflar arasında yapılan ticari olmayan tüketim ödüncü sözleşmesi uyarınca Erdem, arkadaşı Kaan’a 200.000 TL borç para verir. Taraflar, Kaan’ın aldığı ödüncü 3 ay sonra iade edeceği hususunda anlaşır. Sözleşmede Kaan’ın borcunun ifa yerine ve faiz ödenmesi gerektiğine dair herhangi bir düzenleme bulunmaz. 6098 sayılı Türk Borçlar Kanunu’na göre olayla ilgili I. Kaan, Erdem’in faiz talebini karşılamakla yükümlü değildir. II. Sözleşmenin geçerliliği, yazılı şekilde yapılmasına bağlıdır. III. Kaan, borcunu kural olarak Erdem’in ödeme zamanındaki yerleşim yerinde ifa ederek borçtan kurtulur. ifadelerinden hangileri doğrudur?",I ve III,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre alacağın devriyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,Alacağın devriyle devredenin kişiliğine özgü olanlar dışındaki öncelik hakları ve bağlı haklar da devralana geçer.,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
"Trafik kazasına karışan otomobilini satmak isteyen A, satım işlemleri sırasında aracın muayenesini yapan B ile önceden anlaşarak aracın kaza geçirmediğini bildiren bir rapor yazması yönünde anlaşır. C ise bu rapora güvenerek 04.02.2025 tarihinde satış sözleşmesi imzalayarak aracı satın alır ve aynı gün aracın mülkiyetini kazanır. C, aracın daha önce kazaya karışmadığı konusunda aldatıldığını 03.06.2025 tarihinde öğrenir. 6098 sayılı Türk Borçlar Kanunu’na göre C, en geç hangi tarihe kadar sözleşmeyle bağlı olmadığını bildirmez veya ödediği parayı geri istemezse satım sözleşmesini onamış sayılır?",03.06.2026,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
"Yerleşim yeri Nevşehir olan Özlem, yerleşim yeri Tokat olan Defne’nin uzun zamandır aradığı el yazması eseri gezme amacıyla gittiği Balıkesir’de bulur ve satın alır. Özlem, eseri Ankara’ya ailesinin yanına getirip burada bırakır. Özlem ile Defne, bir hafta sürecek bir iş için İstanbul’da bir araya geldiklerinde satış sözleşmesi kurulur. Taraflar, kararlaştırılan bedelin Özlem’in banka hesabına yatırıldığı günden itibaren bir ay içinde eserin teslim edileceği konusunda anlaşır. Fakat eserin ifa yeri hakkında herhangi bir anlaşma da yapılmaz. 6098 sayılı Türk Borçlar Kanunu’na göre Özlem ile Defne’nin ifa yeri hakkında anlaşmazlık yaşaması hâlinde el yazması eserin ifa yeri kural olarak aşağıdakilerden hangisidir?",Ankara,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre ceza koşuluyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Hâkim, aşırı gördüğü ceza koşulunu ancak borçlunun istemi hâlinde indirebilir.",hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
"6098 sayılı Türk Borçlar Kanunu’na göre konut ve çatılı iş yeri kiralarında kiraya veren; gereksinim amacıyla kiralananın boşaltılmasını sağladığında haklı sebep olmaksızın kiralananı, kural olarak en az kaç yıl geçmedikçe eski kiracısından başkasına kiralayamaz?",3,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
"Aşağıdakilerden hangisi 6098 sayılı Türk Borçlar Kanunu’nda kullanım ödüncü sözleşmesinde, kullanım için bir süre kararlaştırılmış olsa dahi ödünç verenin ödünç konusunu bu sürenin sona ermesinden daha önce geri isteyebileceği durumlar arasında sayılmamıştır?",Ödünç konusunun ödünç alanın olağan kullanımından doğan eskime sebebiyle ekonomik değerinin düşmesi,hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre taşınır satış sözleşmesinde ayıptan sorumlulukla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Satıcı, satılandaki ayıbın varlığını bilmediği takdirde ayıptan sorumlu olmaz.",hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
6098 sayılı Türk Borçlar Kanunu’na göre aşağıdakilerden hangisi tarafların kira sözleşmesini kural olarak herhangi bir yasal fesih bildirim süresine uymaksızın hemen feshedebileceği durumlardan biridir?,"Kiralananın tesliminden sonra iflas eden kiracıya ve iflas masasına, kiraya veren tarafından usulüne uygun olarak verilen süre içinde güvence verilmemesi",hukuk,6098 sayılı Türk Borçlar Kanunu,HMGS 2025 1. Sınav,8
Ticaret siciline tescilin etkisiyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,"İşletme adının, Türk Ticaret Kanunu’ndaki işletme adının korunmasına ilişkin hükümlere göre korunmasında sicile tescil kurucu etkiye sahiptir.",hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
6102 sayılı Türk Ticaret Kanunu’na göre haksız rekabet hâlinde açılabilecek davalarla ilgili aşağıdaki ifadelerden hangisi doğrudur?,Manevi tazminat davası koşulların varlığı hâlinde müşteriler tarafından da açılabilir.,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
6102 sayılı Türk Ticaret Kanunu’na göre belirsiz süre için yapılmış acentelik sözleşmelerinde fesih için ihbarda bulunma süresi kural olarak kaç aydır?,3,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
Merkezi Türkiye’de bulunan işletmelerde şube olmaya bağlanan sonuçlarla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Şubeye ayrı sermaye tahsisi zorunludur.,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
6102 sayılı Türk Ticaret Kanunu’na göre limited ortaklıkta esas sermaye payının I. miras II. mevcut ortaklar arasındaki devir III. eşler arasındaki mal rejimi IV. icra yoluyla devri hâllerinin hangilerinde payın mülkiyetinin geçmesi için kural olarak genel kurulun onayı gerekir?,Yalnız II,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
6102 sayılı Türk Ticaret Kanunu’na göre anonim şirket esas sözleşmesinde I. şirketin işletme konusunun tamamen değiştirilmesi II. nama yazılı payların devrinin sınırlandırılması III. sermayenin artırılması ve kayıtlı sermaye tavanının yükseltilmesi değişikliklerinden hangileri sermayenin en az yüzde yetmiş beşini oluşturan payların sahiplerinin veya temsilcilerinin olumlu oylarını gerektirir?,I ve II,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
Z Anonim Şirketi’nin esas sermayesi 5.000.000 TL’dir. Pay sahibi A’nın paylarının itibari değeri toplamı 125.000 TL’dir. A şirket işleri hakkında özel denetim talebinde bulunmak istemektedir. 6102 sayılı Türk Ticaret Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?,"A’nın usulüne uygun özel denetim talebi genel kurulda reddedilirse A, mahkemeye başvurarak özel denetçi atanmasını talep edemez.",hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
Bir adi ortaklıkta yönetim hak ve görevi şirket sözleşmesiyle ortaklardan A’ya verilir. Buna göre haklı bir sebebin varlığı hâlinde A’nın yönetim yetkisinin kaldırılmasıyla ilgili aşağıdaki ifadelerden hangisi doğrudur?,"Herhangi bir ortak, yönetim yetkisini kaldırabilir.",hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
"6102 sayılı Türk Ticaret Kanunu’na göre poliçede araya girmek suretiyle ödemede bulunan kişi, sorumluluğunun doğmaması için lehine araya girdiği borçluya durumu kaç iş günü içinde ihbar etmelidir?",2,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
I. Konişmento II. Bono III. Çek Yukarıdakilerden hangileri kambiyo senetleridir?,II ve III,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
I. Görüldüğünde ödenecek II. Görüldükten belirli süre sonra ödenecek III. Belirli bir günde ödenecek IV. Düzenlenme gününden belirli bir süre sonra ödenecek 6102 sayılı Türk Ticaret Kanunu’na göre yukarıda belirtilen vadelerden hangilerini taşıyan poliçelerde anapara faizi şartı yazılabilir?,I ve II,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
6102 sayılı Türk Ticaret Kanunu’nda aşağıdakilerden hangisi poliçenin ödenmemesi durumunda hamilin başvuru hakkının kapsamı dâhilinde sayılmamıştır?,Keşide tarihiyle kabul etmeme veya ödememe protestosunun çekildiği tarihler arasındaki dönem için hesaplanacak temerrüt faizi,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
"6100 sayılı Hukuk Muhakemeleri Kanunu’na göre isticvap ile ilgili I. Mahkeme, kendiliğinden tarafların isticvabına karar veremez. II. İsticvap esnasında karşı taraf ve taraf vekilleri hazır bulunamaz. III. İsticvap olunan taraf, mahkemenin izni olmadıkça yazılı notlar kullanamaz. ifadelerinden hangileri doğrudur?",Yalnız III,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
"6100 sayılı Hukuk Muhakemeleri Kanunu’na göre vekilin I. tahkim anlaşması yapma, II. davanın tamamını ıslah etme, III. yargılamanın iadesi yoluna başvurma işlemlerinden hangilerini yapabilmesi için özel olarak yetkilendirilmesi gerekir?","I, II ve III",hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre mahkemede veya mahkeme dışında hâkim huzuruyla yapılacak bütün işlemlerde kural olarak aşağıdakilerden hangisinin bulunması zorunludur?,Zabit kâtibi,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre hâkimin hukuki sorumluluğuna yönelik açılacak olan tazminat davası ile ilgili I. Devlet aleyhine açılması gerekir. II. Dilekçesinde vakıaların yazılması yeterli olup hangi sorumluluk sebebine dayanıldığının yazılması gerekmez. III. Davanın ilgili hâkime ihbar edilip edilmeyeceğini mahkeme takdir eder. ifadelerinden hangileri doğrudur?,Yalnız I,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
I. Taşınır ve taşınmazların paylaştırılmasına ve ortaklığın giderilmesine ilişkin uyuşmazlıklar II. 634 sayılı Kat Mülkiyeti Kanunu’ndan kaynaklanan uyuşmazlıklar III. Komşu hakkından kaynaklanan uyuşmazlıklar Yukarıdakilerin hangilerinde dava açılmadan önce arabulucuya başvurulmuş olması dava şartı olarak düzenlenmiştir?,"I, II ve III",hukuk,634 sayılı Kat Mülkiyeti Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre tanık delili ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Tanık, dinlendiği sırada on sekiz yaşını bitirmemiş olması hâlinde yeminsiz dinlenir.",hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre davanın ihbarı ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Dava kendisine ihbar edilen kişinin aynı şartlarda bir başkasına ihbarda bulunması mümkün değildir.,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
"6100 sayılı Hukuk Muhakemeleri Kanunu’na göre delil sözleşmesi ile ilgili I. Sadece noter tarafından onaylanan ya da düzenlenen delil sözleşmeleri geçerlidir. II. Taraflar, delil sözleşmesinde belirli delillerle ispatı öngörülmeyen vakıaların sadece belirli delil veya delillerle ispatını kabul edebilirler. III. Taraflardan birinin ispat hakkının kullanımını fevkalade güçleştiren delil sözleşmeleri geçersizdir. ifadelerinden hangileri doğrudur?",II ve III,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre aşağıdakilerden hangisi ilk itiraz olarak ileri sürülmelidir?,Uyuşmazlığın tahkim yoluyla çözümlenmesi gerektiği iddiası,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre bilirkişi incelemesi ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Bilirkişinin aynı dava veya işte daha önceden tanık olarak dinlenmiş bulunması bir ret sebebi teşkil eder.,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
6100 sayılı Hukuk Muhakemeleri Kanunu’na göre teminat ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Teminatı gerektiren durum ve koşullarda değişiklik olması hâlinde hâkim teminatın artırılmasına karar veremez.,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
